page_id,word_count,content_age_days,days_since_update,monthly_traffic,search_volume,avg_position,ctr,engagement_rate,bounce_rate,backlinks,content_quality,refresh_score,priority
PAGE_0001,3674,531,263,38970,13880,34.1,0.091,0.209,0.299,969,0.84,0.384022550959265,Medium
PAGE_0002,1360,1017,631,31130,6689,25.94,0.0143,0.462,0.343,243,0.949,0.5322064301686632,Medium
PAGE_0003,1794,1166,343,30973,34912,43.21,0.1061,0.31,0.717,668,0.523,0.6401618198412168,Medium
PAGE_0004,1630,143,595,719,93764,43.44,0.142,0.736,0.362,463,0.767,0.3530078012985583,Medium
PAGE_0005,1595,1275,41,33750,46039,1.49,0.1587,0.323,0.294,448,0.606,0.45032018252679024,Medium
PAGE_0006,3592,976,238,25472,51593,39.12,0.1692,0.849,0.235,912,0.843,0.3609716309287159,Medium
PAGE_0007,2138,860,43,3742,93426,23.58,0.2107,0.858,0.72,797,0.77,0.2720745636119549,Low
PAGE_0008,2669,1317,662,28101,41053,49.45,0.0617,0.267,0.204,793,0.494,0.6722787826223527,High
PAGE_0009,966,954,447,34164,65885,24.68,0.0389,0.622,0.463,436,0.469,0.5113566073925389,Medium
PAGE_0010,1738,84,466,29390,19409,49.36,0.2144,0.175,0.506,892,0.402,0.41233599729395437,Medium
PAGE_0011,830,829,406,14222,54295,37.97,0.0476,0.433,0.65,749,0.661,0.5212429448142996,Medium
PAGE_0012,1982,807,49,24920,26001,13.18,0.2439,0.706,0.607,530,0.971,0.28740660526685496,Low
PAGE_0013,2635,191,616,2995,23676,27.38,0.2122,0.661,0.749,564,0.36,0.38754376499376686,Medium
PAGE_0014,3944,1433,784,5466,31608,49.61,0.1302,0.631,0.136,596,0.276,0.614616353548305,Medium
PAGE_0015,3671,116,764,8811,74811,43.02,0.2455,0.34,0.337,272,0.296,0.4083313386484931,Medium
PAGE_0016,3419,84,99,19696,25564,5.77,0.0334,0.421,0.324,429,0.826,0.29906574882187964,Low
PAGE_0017,630,1231,853,18893,60381,35.61,0.0827,0.188,0.217,871,0.48,0.6653975539632617,High
PAGE_0018,2185,1444,240,8299,16360,17.93,0.1632,0.711,0.331,212,0.379,0.5236698027916257,Medium
PAGE_0019,3880,1402,130,10817,35540,1.34,0.094,0.528,0.348,948,0.482,0.5000653387212763,Medium
PAGE_0020,1269,1061,727,36291,95182,20.77,0.2328,0.702,0.518,872,0.716,0.5301619931026693,Medium
PAGE_0021,2891,862,161,10311,56783,12.5,0.0258,0.312,0.631,103,0.637,0.5956287009165071,Medium
PAGE_0022,2015,342,652,45650,41530,41.12,0.1419,0.376,0.405,191,0.795,0.5038594049475955,Medium
PAGE_0023,3985,788,410,23460,2087,17.53,0.1518,0.384,0.676,940,0.471,0.5264847701492135,Medium
PAGE_0024,3353,472,161,21642,25205,41.55,0.1667,0.122,0.369,688,0.562,0.4077518252922519,Medium
PAGE_0025,2933,357,49,31412,78584,1.03,0.0714,0.39,0.332,658,0.282,0.42598755817477213,Medium
